KODE	NAMA BAHAN	SUMBER	AIR (g)	ENERGI (Kal)	PROTEIN (g)	LEMAK (g)	KH (g)	SERAT (g)	ABU (g)	KALSIUM (mg)	FOSFOR (mg)	BESI (mg)	NATRIUM (mg)	KALIUM (mg)	TEMBAGA (mg)	SENG (mg)	RETINOL (mcg)	B-KAR (mcg)	KAR-TOTAL (mcg)	THIAMIN (mg)	RIBOFLAVIN (mg)	NIASIN (mg)	VIT-C (mg)	BDD (%)	KATEGORI	HARGA	MIKRO_TAGS
KP003	Santan (dengan air)	DABM-1964	80.0	122	2.0	10.0	7.6	1.4	0.4	25	30	0.1	9	162.4	0.2	0.4	0	0	0	0.0	0.0	0.5	2	100	Minyak/Lemak	sedang	
JR006	Susu sapi, segar	DABM-1964	88.3	61	3.2	3.5	4.3	0.0	0.7	143	60	1.7	36	149.0	0.02	0.3	39	12	0	0.03	0.18	0.2	1	100	Susu/Olahan Susu	sedang	Sumber Kalsium|Sumber Vitamin D (estimasi)
JR003	Susu kambing, segar	DABM-1964	85.9	64	4.3	2.3	6.6	0.0	0.9	98	78	2.7	35	160.0	0.33	0.1	38	0	0	0.06	0.45	0.3	1	100	Susu/Olahan Susu	mahal	Sumber Vitamin D (estimasi)
BR031	Ubi jalar putih, segar	KZGMI-2001	77.8	88	0.4	0.4	20.6	4.0	0.8	30	10	0.5	2	4.0	0.1	0.2	0	13	264	0.25	0.06	0.5	36	86	Umbi	murah	
BR028	Ubi jalar, kuning, segar	KZGMI-2001	72.6	119	0.5	0.4	25.1	4.2	1.0	30	40	0.4	3	1.0	0.1	0.2	0	794	4948	0.06	0.07	0.7	21	85	Umbi	murah	Sumber Vitamin A
BR030	Ubi jalar merah, segar	KZGPI- 1990	61.9	151	1.6	0.3	35.4	0.7	0.6	29	74	0.7	92	565.6	0.3	0.5	0	0	1208	0.13	0.08	0.7	11	86	Umbi	murah	Sumber Kalium
BR016	Ketela pohon/ singkong, segar	KZGPI- 1990	61.4	154	1.0	0.3	36.8	0.9	0.5	77	24	1.1	2	394.0	0.3	0.4	0	0	0	0.06	0.1	0.5	31	85	Umbi	murah	
BR013	Kentang, segar	KZGPI- 1990	83.4	62	2.1	0.2	13.5	0.5	0.8	63	58	0.7	7	396.0	0.4	0.3	0	0	0	0.09	0.1	1.0	21	85	Umbi	murah	Sumber Kalium
AR001	Beras giling, mentah	KZGMI-2001	12.0	357	8.4	1.7	77.1	0.2	0.8	147	81	1.8	27	71.0	0.1	0.5	0	0	0	0.2	0.08	2.6	0	100	Serealia	murah	
AR013	Beras tumbuk merah, mentah	KZGPI- 1990	14.6	352	7.3	0.9	76.2	0.8	1.0	15	257	4.2	10	202.0	0.36	1.9	0	0	0	0.34	0.0	3.3	0	100	Serealia	murah	Sumber Fosfor
